content,date,지점명,YearMonth
굿,2023-06-01,유성DT점,2023-06
친절하고 좋아요 ,2023-06-01,유성DT점,2023-06
좋아요,2023-06-01,유성DT점,2023-06
맥도날드 할인 쿠폰으로 먹는 상하이버거 너무 좋아요 ㅎㅎㅎ 세일하는 치즈 버거도 맛나요^^ 오늘도 맛나게 먹겠습니다!,2023-06-01,유성DT점,2023-06
맛있대,2023-06-01,유성DT점,2023-06
멕도널드 아이스크림 2100  너무비싸요,2023-06-01,유성DT점,2023-06
"맥모닝 없이
못살아",2023-06-01,유성DT점,2023-06
오랫만에 매장에서 식사💓💓☺️🫶🏻,2023-06-01,유성DT점,2023-06
처음 먹어보는데  맘스터치 치킨버거가 생각났어요~ 맛있게 잘먹었지요 ㅎ 베이컨 토마토디럭스 평소 최앤데 생각이 바뀜 ㅎㅎㅎ,2023-06-01,유성DT점,2023-06
매장이 넓어요 ,2023-06-01,유성DT점,2023-06
굿잡,2023-06-01,유성DT점,2023-06
굿,2023-06-01,유성DT점,2023-06
좋아요 ,2023-06-01,유성DT점,2023-06
아침메뉴는 가끔가다가 한번씩.. 맥그리들이 괜찮아요 단짠을 원하시면,2023-06-01,유성DT점,2023-06
맛있어서 좋아요,2023-06-01,유성DT점,2023-06
맛있고 좋아요,2023-06-01,유성DT점,2023-06
아침 맥모닝 든든,2023-06-01,유성DT점,2023-06
맥모닝 다 좋은데 버거 만드는 거랑 포장이 점점 더 성의가 없러지는 듯...,2023-06-01,유성DT점,2023-06
굿,2023-06-01,유성DT점,2023-06
굿,2023-06-01,유성DT점,2023-06
굳,2023-06-01,유성DT점,2023-06
맛나요,2023-06-01,유성DT점,2023-06
사람들이 많네요,2023-06-01,유성DT점,2023-06
,2023-06-01,유성DT점,2023-06
계룡산 남매탑 등반 전 점심식사로 간 맥도날드 유성DT점!날 더웠는데 매장 시원해서 좋았고 햄버거도 맛있게 잘 먹었습니다!,2023-06-01,유성DT점,2023-06
맛있어요,2023-06-01,유성DT점,2023-06
디티점 좋아요,2023-06-01,유성DT점,2023-06
2층에도 적당히 자리가 있어요,2023-06-01,유성DT점,2023-06
"소스 좀 발라주세요. 두번이나 소스가 거의 안 발림
버거 재료맛으로 먹어야해서 목 막히고 무슨맛인지도 모르겠음",2023-06-01,유성DT점,2023-06
예전보다 많이 비싸짐,2023-06-01,유성DT점,2023-06
좋아요 ,2023-06-01,유성DT점,2023-06
친절하고 좋아요 ,2023-06-01,유성DT점,2023-06
맥도날드 사랑행 ~,2023-06-01,유성DT점,2023-06
좋아요 주차공간은 협소하네요,2023-06-01,유성DT점,2023-06
좋아요,2023-06-01,유성DT점,2023-06
좋아요,2023-06-01,유성DT점,2023-06
오랜만에 햄버거 맛있었는데 콜라 빨래 안 주는줄 몰랐네요ㅠ,2023-06-01,유성DT점,2023-06
최고,2023-06-01,유성DT점,2023-06
맛있엉ㅅ,2023-06-01,유성DT점,2023-06
너무더워서 들어왔는데. 청결하고 음료가 매우 맛있었어요,2023-06-01,유성DT점,2023-06
주말 아침마다 맥모닝 자주 사다먹어요 실제 거리는 멀지않지만 배달이 되지않아 항상 DT로 이용해요,2023-06-01,유성DT점,2023-06
24시간 해서 좋아요,2023-06-01,유성DT점,2023-06
좋아요,2023-06-01,유성DT점,2023-06
짱,2023-06-01,유성DT점,2023-06
맛있어요,2023-05-01,유성DT점,2023-05
버거에 제발 소스 좀...소스맛 날 만큼은 발라줘세요,2023-05-01,유성DT점,2023-05
쿠폰 좋아요,2023-05-01,유성DT점,2023-05
새벽에 처음 가봤는데 바로 튀긴 감자튀김이 너무 맛있었어요~ 햄버거 세트를 다시 보게 되는 순간입니다! 음료 뚜껑도 리뉴얼 되고나서 빨대보다 더 마시기 편해졌네요 너무 맛있는 맥도날드집이에요🩵,2023-05-01,유성DT점,2023-05
친절 해요~~,2023-05-01,유성DT점,2023-05
,2023-05-01,유성DT점,2023-05
친절하고 좋아요 ,2023-05-01,유성DT점,2023-05
굿,2023-05-01,유성DT점,2023-05
👍,2023-05-01,유성DT점,2023-05
맛잇어요 친절하시우ㅛ,2023-05-01,유성DT점,2023-05
드라이브스루 좋아,2023-05-01,유성DT점,2023-05
굿,2023-05-01,유성DT점,2023-05
좋아요,2023-05-01,유성DT점,2023-05
굿,2023-05-01,유성DT점,2023-05
"맥날가서 맥빠지는 소리하지마
햄버거나 먹어
맛나",2023-05-01,유성DT점,2023-05
맥날 맨날 갈래요,2023-05-01,유성DT점,2023-05
양호양호,2023-05-01,유성DT점,2023-05
좋아요 ,2023-05-01,유성DT점,2023-05
좋아요,2023-05-01,유성DT점,2023-05
ㄱ,2023-05-01,유성DT점,2023-05
가격이 올랐는지 몰랐네요,2023-05-01,유성DT점,2023-05
친절하고 좋아요 ,2023-05-01,유성DT점,2023-05
맥도날드,2023-05-01,유성DT점,2023-05
좋아요,2023-05-01,유성DT점,2023-05
아이스크림 뚱뚱하게 줘서 좋음 ㅋㅋ,2023-05-01,유성DT점,2023-05
굿,2023-05-01,유성DT점,2023-05
조하요,2023-05-01,유성DT점,2023-05
굿,2023-05-01,유성DT점,2023-05
친절하고 빠르고 좋아요 ,2023-05-01,유성DT점,2023-05
대전에서 여기가 제일 맛있어요,2023-05-01,유성DT점,2023-05
좋아요 ,2023-05-01,유성DT점,2023-05
친절하고 빠르고 좋아요 ,2023-05-01,유성DT점,2023-05
좋아요,2023-05-01,유성DT점,2023-05
굳,2023-05-01,유성DT점,2023-05
커피도 맛있어요,2023-05-01,유성DT점,2023-05
굿~,2023-05-01,유성DT점,2023-05
굿,2023-05-01,유성DT점,2023-05
굳,2023-05-01,유성DT점,2023-05
굿,2023-05-01,유성DT점,2023-05
만두 ,2023-05-01,유성DT점,2023-05
친절하고 좋아요 ,2023-05-01,유성DT점,2023-05
좋아요,2023-05-01,유성DT점,2023-05
좋아요,2023-05-01,유성DT점,2023-05
좋아요,2023-05-01,유성DT점,2023-05
좋아요,2023-05-01,유성DT점,2023-05
같은맛입니다.,2023-05-01,유성DT점,2023-05
맥돌맛나요ㅎ,2023-05-01,유성DT점,2023-05
맛있어요,2023-05-01,유성DT점,2023-05
친절하고 좋아요 ,2023-05-01,유성DT점,2023-05
좋아요 ,2023-05-01,유성DT점,2023-05
맥날 이즈 뭔들!!!!!! 잘 먹고 갑니다앙 주차자리 1시간 무료로 이용가능한 것 주차헬 봉명동에서 넘 좋네요!!!! 2층인것도 조아요,2023-05-01,유성DT점,2023-05
오랫만에 출근길맥모닝😋💛💛,2023-05-01,유성DT점,2023-05
오랜만의 맥모닝 맛있네요,2023-05-01,유성DT점,2023-05
.,2023-05-01,유성DT점,2023-05
,2023-05-01,유성DT점,2023-05
"점심에가서 2층에서 먹었는데 너무 북적이지도않고 식사하기 좋네요! 
햄버거 야채도 신선하고 맛있었어요",2023-05-01,유성DT점,2023-05
좋아요,2023-05-01,유성DT점,2023-05
좋아요 ,2023-05-01,유성DT점,2023-05
굿,2023-05-01,유성DT점,2023-05
친절하고 좋아요 ,2023-05-01,유성DT점,2023-05
좋아요,2023-05-01,유성DT점,2023-05
굿,2023-05-01,유성DT점,2023-05
굿,2023-05-01,유성DT점,2023-05
친절하고 좋아요 ,2023-05-01,유성DT점,2023-05
"간단히 먹기 좋아요♡ 잘 먹고 갑니당
",2023-05-01,유성DT점,2023-05
맛있죠,2023-05-01,유성DT점,2023-05
소스 좀 ,2023-05-01,유성DT점,2023-05
좋아요,2023-05-01,유성DT점,2023-05
쉬림프 스낵랩 맥도날드 앱으로 저렴하게 샀어요,2023-05-01,유성DT점,2023-05
친절하고 좋아요 ,2023-05-01,유성DT점,2023-05
주말에 맥모닝 먹으러 매번와요. ,2023-05-01,유성DT점,2023-05
맛있어요편리하고,2023-05-01,유성DT점,2023-05
🥤,2023-05-01,유성DT점,2023-05
빅맥 먹으러 갔는대 시가누안되서 맥모닝....,2023-05-01,유성DT점,2023-05
굿,2023-05-01,유성DT점,2023-05
친절해서 좋아요.,2023-05-01,유성DT점,2023-05
